

ESTACIÓN AUTOMÁTICA: Ourense
CONCELLO: Ourense
PROVINCIA: Ourense

CÓDIGOS DE VALIDACIÓN DOS DATOS:
0:  Dato sen validar
1:  Dato válido orixinal
2:  Dato sospeitoso
3:  Dato erróneo
4:  Dato acumulado                                    
5:  Dato válido interpolado
9:  Dato non rexistrado


Nota: O valor -9999 indicará dato non rexistrado

Tipo de consulta: Variables diarias
Período:01/4/2015-23/10/2015


COD.VALIDACIÓN  DATA          PARÁMETRO (Unidades)                     VALOR
      1          15/07/2015    Temperatura máxima (ºC)                   37,2
      1          16/07/2015    Temperatura máxima (ºC)                   32,9
      1          17/07/2015    Temperatura máxima (ºC)                   35,3
      1          18/07/2015    Temperatura máxima (ºC)                   28,6
      1          19/07/2015    Temperatura máxima (ºC)                   30,3
      1          20/07/2015    Temperatura máxima (ºC)                   35
      1          21/07/2015    Temperatura máxima (ºC)                   34
      1          22/07/2015    Temperatura máxima (ºC)                   33,5
      1          23/07/2015    Temperatura máxima (ºC)                   33,5
      1          24/07/2015    Temperatura máxima (ºC)                   27,9
      1          25/07/2015    Temperatura máxima (ºC)                   33,1
      1          26/07/2015    Temperatura máxima (ºC)                   30,3
      1          27/07/2015    Temperatura máxima (ºC)                   30,5
      1          28/07/2015    Temperatura máxima (ºC)                   30,6
      1          29/07/2015    Temperatura máxima (ºC)                   31,2
      1          30/07/2015    Temperatura máxima (ºC)                   26,4
      1          31/07/2015    Temperatura máxima (ºC)                   28,7
      1          01/08/2015    Temperatura máxima (ºC)                   33,8
      1          02/08/2015    Temperatura máxima (ºC)                   33,6
      1          03/08/2015    Temperatura máxima (ºC)                   30,8
      1          04/08/2015    Temperatura máxima (ºC)                   32,9
      1          05/08/2015    Temperatura máxima (ºC)                   31,1
      1          06/08/2015    Temperatura máxima (ºC)                   30,5
      1          07/08/2015    Temperatura máxima (ºC)                   28,3
      1          08/08/2015    Temperatura máxima (ºC)                   28,8
      1          09/08/2015    Temperatura máxima (ºC)                   36,3
      1          10/08/2015    Temperatura máxima (ºC)                   36,8
      1          11/08/2015    Temperatura máxima (ºC)                   33
      1          12/08/2015    Temperatura máxima (ºC)                   29,1
      1          13/08/2015    Temperatura máxima (ºC)                   19,8
      1          14/08/2015    Temperatura máxima (ºC)                   23
      1          15/08/2015    Temperatura máxima (ºC)                   26,6
      1          16/08/2015    Temperatura máxima (ºC)                   25,3
      1          17/08/2015    Temperatura máxima (ºC)                   30,2
      1          18/08/2015    Temperatura máxima (ºC)                   30,4
      1          19/08/2015    Temperatura máxima (ºC)                   35,1
      1          20/08/2015    Temperatura máxima (ºC)                   38,4
      1          21/08/2015    Temperatura máxima (ºC)                   36,9
      1          22/08/2015    Temperatura máxima (ºC)                   25,9
      1          23/08/2015    Temperatura máxima (ºC)                   19,7
      1          24/08/2015    Temperatura máxima (ºC)                   23,2
      1          25/08/2015    Temperatura máxima (ºC)                   28,6
      1          26/08/2015    Temperatura máxima (ºC)                   26,7
      1          27/08/2015    Temperatura máxima (ºC)                   27,8
      1          28/08/2015    Temperatura máxima (ºC)                   32,7
      1          29/08/2015    Temperatura máxima (ºC)                   35,6
      1          30/08/2015    Temperatura máxima (ºC)                   36,4
      1          31/08/2015    Temperatura máxima (ºC)                   27
      1          01/09/2015    Temperatura máxima (ºC)                   28,8
